77. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
78. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
79. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
80. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
81. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
82. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
83. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
84. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
85. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
86. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
87. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
88. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
89. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
90. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
91. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
92. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
93. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
94. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
95. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
96. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
97. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
98. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
99. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
100. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
101. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
102. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
103. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
104. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
105. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
106. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
107. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
108. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
109. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
110. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
111. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
112. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
113. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
114. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
115. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
116. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
117. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
118. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
119. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
120. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
121. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
122. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
123. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
124. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
125. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
126. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
127. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
128. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
129. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
130. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
131. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
132. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
133. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
134. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
135. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
136. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
137. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
138. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
139. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
140. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
141. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
142. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
143. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
144. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
145. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
146. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
147. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
148. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
149. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
150. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
151. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
152. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
153. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
154. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
155. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
156. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
157. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
158. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
159. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
160. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
161. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
162. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
163. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
164. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
165. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
166. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
167. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
168. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
169. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
170. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
171. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
172. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
173. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
174. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
175. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
176. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
177. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
178. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
179. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
180. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
181. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
182. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
183. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
184. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
185. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
186. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
